Logan 5.1.1
rawFileName="H:\timo\research\PoweredUp\data\{None} 9326 201402051224.raw"
From=0:00.0, To=5:32.9
Date=05Feb2014
Time=12:24:59
Athlete={None}
EventDescription=
Time, Forward, Sideways, Up, Gyr1(d/s), Gyr2(d/s), Gyr3(d/s), Mag Fwd, Mag Left, Mag Up, 
0:02.04, -0.014, 0.934, 0.108, -0.688, 8.687, 4.758, -0.164, 0.399, -1.032, 
0:02.04, -0.014, 0.934, 0.101, -0.688, 8.687, 4.393, -0.164, 0.399, -1.032, 
0:02.06, -0.014, 0.934, 0.101, -0.688, 8.687, 4.393, -0.164, 0.399, -1.032, 
0:02.06, -0.014, 0.934, 0.101, -0.079, 8.340, 3.662, -0.164, 0.399, -1.032, 
0:02.08, -0.014, 0.934, 0.108, -0.688, 8.340, 2.931, -0.164, 0.399, -1.032, 
0:02.09, -0.021, 0.934, 0.108, -0.688, 8.340, 2.931, -0.164, 0.399, -1.032, 
0:02.10, -0.014, 0.934, 0.108, -0.688, 8.340, 1.469, -0.164, 0.399, -1.028, 
0:02.11, -0.014, 0.934, 0.108, -0.688, 8.340, 1.469, -0.166, 0.399, -1.028, 
0:02.12, -0.014, 0.934, 0.108, -0.688, 8.340, 1.469, -0.166, 0.399, -1.028, 
0:02.13, -0.014, 0.940, 0.108, -0.688, 8.340, 0.007, -0.166, 0.399, -1.028, 
0:02.14, -0.014, 0.934, 0.108, -0.688, 8.340, 0.007, -0.166, 0.399, -1.028, 
0:02.15, -0.071, 0.934, 0.101, -0.688, 9.730, 4.393, -0.166, 0.399, -1.028, 
0:02.16, -0.000, 0.921, 0.108, -0.688, 8.340, -1.089, -0.166, 0.399, -1.028, 
0:02.17, 0.007, 0.907, 0.108, -0.079, 8.340, -1.454, -0.166, 0.399, -1.028, 
0:02.18, 0.007, 0.921, 0.108, -0.688, 8.340, -1.454, -0.166, 0.399, -1.028, 
0:02.19, -0.007, 0.927, 0.101, -0.079, 7.297, -1.454, -0.166, 0.399, -1.028, 
0:02.20, -0.014, 0.921, 0.088, -0.688, 7.992, -14.976, -0.164, 0.399, -1.028, 
0:02.21, -0.014, 0.921, 0.088, -0.688, 10.078, -24.477, -0.164, 0.399, -1.028, 
0:02.22, 0.057, 0.940, 0.142, -0.079, 7.644, -3.647, -0.166, 0.399, -1.028, 
0:02.23, -0.057, 0.914, 0.068, -0.688, 4.168, 9.509, -0.164, 0.399, -1.028, 
0:02.24, -0.000, 0.934, 0.108, -0.688, 9.035, -6.205, -0.166, 0.399, -1.028, 
0:02.25, -0.014, 0.927, 0.088, -0.079, 10.078, -8.032, -0.166, 0.399, -1.028, 
0:02.25, -0.014, 0.927, 0.095, -0.688, 11.816, -12.418, -0.166, 0.399, -1.028, 
0:02.27, -0.021, 0.927, 0.101, -0.688, 11.816, -10.591, -0.166, 0.399, -1.028, 
0:02.27, -0.021, 0.927, 0.108, -0.688, 11.816, -9.129, -0.166, 0.399, -1.028, 
0:02.29, -0.021, 0.927, 0.108, -0.688, 11.121, -8.032, -0.166, 0.399, -1.028, 
0:02.29, -0.021, 0.940, 0.115, -0.079, 9.383, -2.551, -0.166, 0.399, -1.028, 
0:02.31, -0.064, 0.914, 0.128, -1.296, 5.559, 10.240, -0.166, 0.396, -1.028, 
0:02.31, -0.029, 0.927, 0.088, -0.079, 3.820, 17.914, -0.166, 0.396, -1.028, 
0:02.33, -0.000, 0.940, 0.115, -0.688, 8.687, -5.840, -0.166, 0.396, -1.028, 
0:02.34, -0.014, 0.934, 0.101, -0.079, 7.297, 6.585, -0.166, 0.396, -1.028, 
0:02.35, -0.014, 0.927, 0.115, -0.079, 8.340, -1.820, -0.166, 0.396, -1.028, 
0:02.36, -0.021, 0.927, 0.108, -0.688, 8.340, 4.758, -0.166, 0.396, -1.028, 
0:02.37, -0.014, 0.927, 0.108, -0.688, 8.687, 1.835, -0.166, 0.396, -1.028, 
